id,title,file,created_at,uploaded_by_user_id,urls
67,"PDF Lehrauftrag Vielfalt der Wissensformen en",documents/Vielfalt_der_Wissensformen_Ausschreibung_Lehrauftraege_WiSe_2016_17_englisch.pdf,"2016-06-29 09:22:20.56468+02",5,
68,"PDF Lehrauftrag Vielfalt der Wissensformen de",documents/Vielfalt_der_Wissensformen_Ausschreibung_Lehrauftraege_WiSe_2016_17_deutsch.pdf,"2016-06-29 09:22:43.629034+02",5,
69,"Tagungsprogramm Müller-Prinzip",documents/Tagungsprogramm_Mueller-Prinzip.pdf,"2016-06-30 12:26:06.045625+02",5,
70,"Flyer zum Tieranatomischen Theater",documents/Flyer_Tieranatomisches_Theater_web_1.pdf,"2016-06-30 14:11:06.874598+02",5,
71,"Tagungsprogramm Image Operations",documents/Image_Operations_Program.pdf,"2016-07-01 10:40:01.32629+02",5,
72,"Programm der Tagung 2015",documents/Programm_matap_2015.pdf,"2016-07-05 10:03:21.450059+02",5,
73,"Tagungsprogramm 2014",documents/Programm_matap_2014.pdf,"2016-07-05 10:05:24.529868+02",5,
74,"Sammelband Themenklasse 2015",documents/beobachten_entwerfen_verbinden_Themenklasse_2015.pdf,"2016-07-05 15:20:20.992928+02",5,
75,"Poster Abschlusspräsentation 2015",documents/poster_A2_2016-03-24.pdf,"2016-07-05 15:28:17.945467+02",5,
76,"Shroud im Tagesspiegel",documents/Tagesspiegel_Shroud.pdf,"2016-07-06 11:46:16.835421+02",5,
77,"Hannoversche Allgemeine Zeitung Shroud",documents/HannoverscheAllgemeineZeitung_Shroud.pdf,"2016-07-06 11:54:54.559558+02",5,
78,Zitty,documents/Zitty_Shroud.pdf,"2016-07-06 11:57:42.637646+02",5,
79,"Presseclipping 2015",documents/Presseclipping_Gesamt_2015.pdf,"2016-07-07 11:39:29.604303+02",6,
80,"Tagungsmappe Hybride Fotografie",documents/Abstract_und_Bios-Tagungsmappe-2.pdf,"2016-07-08 12:26:28.83835+02",5,
81,"Vorlesungsverzeichnis WS 2015/16",documents/WS_2015_2016_KVV.pdf,"2016-07-12 07:42:34.062224+02",5,
82,VVZ_SoSe_2016,documents/VVZ_SoSe_2016_JxdUKoT.pdf,"2016-07-12 09:41:02.914597+02",7,
83,"Einfügen als Kulturtechnik. Die Architektur Wang Shus und Lu Wenyus.",documents/archimaera006_Schramke-Bock.pdf,"2016-07-12 11:35:25.262597+02",20,
84,PDF,documents/JA_Magazin_20_RZ_Ansicht.pdf,"2016-07-12 11:44:18.554742+02",21,
85,PDF,documents/Stach.pdf,"2016-07-12 11:54:31.315602+02",20,
86,"Stein_Linked Open Data",documents/Stein_Linked_Open_Data.pdf,"2016-07-12 13:07:24.018119+02",14,
87,PDF,documents/Stein_Linked_Open_Data_OOirrh1.pdf,"2016-07-12 14:00:22.872148+02",14,
88,VVZ_SoSe_2015,documents/VVZ_HZK_SoSe_2015.pdf,"2016-07-12 14:56:20.64479+02",7,
89,VVZ_WiSe_2014/15,documents/kvvWS15.pdf,"2016-07-12 15:08:49.789837+02",7,
90,VVZ_WiSe_2014/15,documents/kvvWS15_I9ccrBp.pdf,"2016-07-12 15:10:43.255714+02",7,
91,"Download VVSS14",documents/kvvSS14.pdf,"2016-07-12 15:15:35.108853+02",7,
92,VVZ_WiSe_2013/14,documents/kvvWS14.pdf,"2016-07-12 15:22:37.763347+02",7,
93,"Download VVZ_SoSe_2013",documents/kvvSS13.pdf,"2016-07-12 15:24:59.436736+02",7,
94,"Download VVZ_WiSe_2014/15",documents/kvvWS15_zqFJcxQ.pdf,"2016-07-12 15:42:48.563442+02",7,
95,"Download VVZ_WiSe_2015/16",documents/WS_2015_2016_KVV_Vvv7DaA.pdf,"2016-07-12 15:50:57.927789+02",7,
96,"Download VVZ_WiSe_2012/13",documents/kvvWS13.pdf,"2016-07-13 13:01:46.345124+02",7,
97,"Download VVZ_SoSe_2012",documents/kvvSS12.pdf,"2016-07-13 13:12:30.873767+02",7,
98,"Download VVZ_WiSe_2011/12",documents/kvvWS11.pdf,"2016-07-13 13:20:15.39748+02",7,
99,"Download VVZ_SoSe_2011",documents/kvvSS11.pdf,"2016-07-13 13:26:53.794989+02",7,
100,"Download VVZ_WiSe_2010/11",documents/kvvWS10.pdf,"2016-07-13 13:32:05.917356+02",7,
101,PDF,documents/John_2015Plose10137284.PDF,"2016-07-13 13:32:57.490348+02",20,
102,"Download VVZ_SoSe_2010",documents/kvvSS10.pdf,"2016-07-13 13:41:17.51293+02",7,
103,PDF,documents/Naykatura_2014a.pdf,"2016-07-13 13:47:22.467126+02",20,
104,"Download VVZ_WiSe_2009/10",documents/kvvWS09.pdf,"2016-07-13 13:48:02.179144+02",7,
105,"Download VVZ_SoSe_2009",documents/kvvSS09.pdf,"2016-07-13 13:53:37.760936+02",7,
106,"Download VVZ_WiSe_2008/09",documents/kvvWS08.pdf,"2016-07-13 14:01:14.563442+02",7,
107,"Download VVZ_SoSe_2008",documents/kvvSS08-1.pdf,"2016-07-13 14:05:46.567124+02",7,
108,PDF,documents/haare-hoeren-strukturen-wissen-raeume.agieren.pdf,"2016-07-13 14:12:16.786981+02",15,
109,PDF,documents/Serra_et_al-2015-Environmental_Microbiology.pdf,"2016-07-13 14:12:41.777566+02",20,
110,"Download VVZ_WiSe_2007/08",documents/kvvWS07.pdf,"2016-07-13 14:17:20.100415+02",7,
111,"Download VVZ_SoSe_2007",documents/kvv07.pdf,"2016-07-13 14:22:36.499647+02",7,
112,PDF,documents/Hennig_1.pdf,"2016-07-13 14:23:33.232631+02",14,
113,"Download VVZ_WiSe_2006/07",documents/kvvWS06.pdf,"2016-07-13 14:27:28.150161+02",7,
114,PDF,documents/Hennig_1_qWnTJeU.pdf,"2016-07-13 14:31:53.057812+02",14,
