id,page1_id,page2_id
3715,894,1504
3767,1965,259
2066,1438,281
1881,655,739
1883,637,108
1902,1380,79
3740,1947,250
1858,1346,250
1887,89,425
1845,1192,250
2035,1414,564
1888,89,275
3855,1989,483
1851,1360,166
3768,1965,72
1857,1341,166
1815,1341,250
1880,1377,1207
2111,1461,1207
1846,1192,245
2100,1455,1207
1662,1206,250
2556,1663,69
2052,690,499
1962,643,432
1963,643,738
2101,1455,250
2070,1441,250
2069,1441,1207
2056,1422,166
2104,1457,1207
2105,1457,250
1889,89,457
1890,89,314
1964,643,1061
2094,1452,389
1686,1273,741
3856,1989,255
3857,1989,257
2108,1460,1207
2109,1460,250
1897,175,284
2106,1459,1207
1853,1362,166
1898,175,268
1891,89,486
1899,175,385
3870,1995,515
2555,1663,249
2097,1453,250
3563,489,81
3530,486,23
3882,2002,515
2049,891,690
3691,525,108
1911,1383,166
1916,1385,224
1915,1385,166
1906,679,740
777,739,651
776,739,655
3858,1989,22
1893,196,223
3692,525,1399
623,525,70
2112,1461,250
1507,1210,456
2107,1459,250
455,22,134
1926,1392,166
2098,1454,1207
2099,1454,250
2102,1456,1207
3909,2014,420
3910,2014,20
1217,532,18
2174,1494,247
2184,1499,252
2219,1523,250
2218,1523,1207
2202,1509,250
847,232,69
2201,1509,1207
1439,1185,742
1649,1261,233
1650,1261,801
1651,1261,111
1652,1261,133
1653,1261,138
1555,1223,593
1554,1223,166
2114,240,1177
2601,1678,402
2115,240,73
2140,1477,239
2602,1678,67
2123,1469,232
471,72,230
2116,240,67
2141,1478,239
1982,108,525
2126,1472,232
1218,532,38
1276,223,166
1219,532,23
738,224,116
711,560,31
3564,515,697
2142,484,68
2190,1504,249
2191,1504,232
3699,625,108
2145,1480,250
1791,1333,1206
1799,1331,411
1789,1331,1206
1801,1330,500
1788,1330,1206
2197,1506,521
1738,1246,1206
2128,1474,232
1819,1344,1343
2189,1503,252
2209,1515,1207
1600,1241,742
1601,1241,567
1727,1231,1289
2557,1664,232
3616,540,61
2558,1664,69
2144,1480,1207
2148,417,71
2232,1534,250
2216,1521,253
2061,1427,389
2210,1515,250
2178,1496,1207
2179,1496,250
2137,501,39
2147,1481,250
3716,992,67
3590,1925,270
2208,1514,166
2158,1485,250
2157,1485,1207
3591,1925,67
706,265,65
3645,310,19
2168,1491,250
2167,1491,1207
704,265,64
2129,265,1177
1462,391,79
1546,1219,772
1547,1219,245
3531,535,65
2155,1484,312
2636,1690,236
2200,1508,252
2136,603,78
2139,1476,239
2694,1705,71
2204,1357,1504
2143,1479,301
2188,1502,261
2163,1489,250
2162,1489,1207
2153,1483,249
472,72,238
3674,422,68
1259,266,1064
2124,1470,232
2196,1506,226
1260,266,73
1261,266,60
2187,1501,261
2154,1483,69
2175,1494,77
3741,1948,250
2119,1465,232
2125,1471,232
3796,1976,651
2120,1466,232
2121,1467,232
2146,1481,1207
2181,1497,250
2180,1497,1207
2156,1484,22
760,389,22
2161,1488,314
811,567,81
2203,1510,166
2127,1473,232
2206,1512,166
2207,1513,166
2211,1516,166
2212,1517,166
2213,1518,166
2214,1519,166
2215,1520,166
2217,1522,166
2149,1482,231
2150,1482,353
2199,1507,263
2221,1524,166
2222,1525,166
2227,1530,166
2223,1526,166
2224,1527,166
2225,1528,166
2226,1529,166
2195,1505,263
2228,1531,166
2229,1532,166
2230,1533,166
1991,108,1204
2177,1495,250
2176,1495,1207
