id,file,width,height,focal_point_key,filter_id,image_id,urls
2950,images/Matter_of_Typo_Dresden_010.original.jpg,4608,3456,,5,800,
2951,images/Matter_of_Typo_Dresden_010.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,800,
2952,images/Clustereroffnung_Sophienstrasse_Daniel_Lamas.max-165x165_aweVAcJ.jpg,165,110,,1,801,
2953,images/Clustereroffnung_Sophienstrasse_Daniel_Lamas_C.width-480.jpg,480,320,,4,801,
2954,images/Clustereroffnung_Sophienstrasse_Daniel_Lamas_C.width-960.jpg,960,640,,10,801,
2955,images/Clustereroffnung_Sophienstrasse_Daniel_Lamas_Co.original_iBSkW1p.jpg,5472,3648,,5,801,
2957,images/Roessel.max-165x165.jpg,154,154,,1,802,
2958,images/Dreieck.max-165x165.jpg,154,154,,1,803,
2959,images/Roessel.width-480.jpg,154,154,,4,802,
2960,images/Roessel.original.jpg,154,154,,5,802,
2961,images/Dreieck.2e16d0ba.fill-960x480.jpg,154,78,2e16d0ba,13,803,
2962,images/Dreieck.original.jpg,154,154,,5,803,
2963,images/Roessel.2e16d0ba.fill-960x480.jpg,154,78,2e16d0ba,13,802,
2964,images/Dreieck.2e16d0ba.fill-180x135.jpg,154,116,2e16d0ba,12,803,
2965,images/Roessel.2e16d0ba.fill-180x135.jpg,154,116,2e16d0ba,12,802,
2966,images/Lepidoptera2.max-165x165.jpg,165,57,,1,804,
2967,images/Lepidoptera2.width-480.jpg,480,166,,4,804,
2968,images/Lepidoptera2.original.jpg,508,176,,5,804,
2969,images/Sprechmaschine.max-165x165.jpg,165,84,,1,805,
2970,images/Sprechmaschine.original.jpg,508,261,,5,805,
2971,images/Sprechmaschine.max-800x600.jpg,508,261,,6,805,
2972,images/Sprechmaschine.width-480.jpg,480,246,,4,805,
2973,images/ophelia.max-165x165.jpg,154,154,,1,806,
2974,images/lindley.max-165x165.jpg,154,154,,1,807,
2975,images/praeparate.max-165x165.jpg,154,154,,1,808,
2976,images/ophelia.width-480.jpg,154,154,,4,806,
2977,images/ophelia.original.jpg,154,154,,5,806,
2978,images/lindley.2e16d0ba.fill-960x480.jpg,154,78,2e16d0ba,13,807,
2979,images/lindley.original.jpg,154,154,,5,807,
2980,images/praeparate.2e16d0ba.fill-960x480.jpg,154,78,2e16d0ba,13,808,
2981,images/praeparate.original.jpg,154,154,,5,808,
2982,images/lindley.2e16d0ba.fill-180x135.jpg,154,116,2e16d0ba,12,807,
2983,images/praeparate.2e16d0ba.fill-180x135.jpg,154,116,2e16d0ba,12,808,
